Sample;SampleNo;Blend;BlendNo;ZwaarVanGeur;ScherpVanGeur;WeeVanGeur;LichtVanGeur;MufVanGeur;AromatischVanGeur;KoffieGeur;KunstmatigVanGeur;FlauwVanSmaak;OudVanSmaak;HardVanSmaak;VlakVanSmaak;KruidigVanSmaak;LichtVanSmaak;KrachtigVanSmaak;ZurigVanSmaak;BitterVanSmaak;ZuiverVanSmaak;WrangVanSmaak;FrisVanSmaak;SchraalVanSmaak;CaramelachtigVanSmaak;RondVanSmaak;SmaaktAangebrand;VettigVanSmaak;KunstmatigVanSmaak;ZachtVanSmaak;DroogMondgevoel;ScherpMondgevoel;BijSmaak
Mild05-10;169;Mild;1;49.8;33.7;23.1;33.8;19.1;50.1;57.8;13.8;30.7;26.4;36.3;31.7;33.6;39.5;51.6;36;39.2;49.9;28.4;33.4;28.7;18.7;44.6;24.4;20.7;16.2;40.6;29.9;26.2;18.8
Mild05-14;170;Mild;1;49.3;34.2;22.3;36.7;18.9;51.9;59.6;18.4;27.5;23.6;42.9;30.1;33.2;36.8;52.1;42.8;39;53.2;34.4;34.8;36.7;19.2;47.5;28.3;21.6;22.2;42.1;30.9;30.4;16.9
Mild05-15;171;Mild;1;49.7;33.4;24.5;37.6;19.1;51;59.2;20.1;25.9;21.1;34.6;30.1;35.4;41.3;49.2;33.5;36.5;54.3;28.6;37.3;27.4;19.3;48.2;24.1;21.3;19.4;44.4;31.9;26.7;16.8
Mild05-20;172;Mild;1;43.7;31.2;24.9;45.4;21.1;47.7;55.7;17.1;35.5;24.1;31.6;35.8;28.3;45;46.1;32.2;38.7;50.6;25.6;33.7;32.3;17.9;44.5;23.3;21.8;15.6;47.6;35;26.9;19.4
Dark05-21;173;Dark;3;50.8;33.9;27.3;36.7;21.3;48.7;55.8;17.6;25.6;21.6;39.3;25.6;37.1;25.9;60.5;29.2;49.9;50.8;27;31.3;31.8;18.9;44.1;34.7;18.9;16.1;31.4;37.2;40.4;18.2
Mild05-22;174;Mild;1;44.1;29.7;20;42.1;16;49;58.9;14.8;29.7;22.8;33.3;31;35.3;35.6;51.9;37.6;38.5;52.3;27.8;26.7;30.4;18.8;51.2;26.8;22.1;15.7;38;33;33.2;14.5
Mild05-23;175;Mild;1;42.8;29.9;23.5;43;19.2;48.2;55.2;18.6;31.4;26.6;34.2;33;31;38.6;51.8;33.4;40.8;50.8;28.3;33.3;30.1;19.3;44.8;25.3;19.2;17;42.1;32.5;28.6;16.9
Mild05-27;176;Mild;1;42.2;27.5;29.8;54.3;19.2;43.8;51.4;16.9;41.5;25.9;28.4;40.2;28.7;47.7;43.9;30.7;37.6;46.9;20.7;32.3;28;20;44;20;20.4;16.2;48.9;25.9;22.9;15
Mild05-29;177;Mild;1;43.3;30.2;25.5;48.6;18.6;47.3;57;16.7;33.7;26.1;32.4;40.1;27.1;40.4;44.5;27.5;38.6;51.2;24.1;35;34;16.9;45.6;26.3;21.6;16.2;46.8;31.4;26.8;16.1
Mild05-31;178;Mild;1;46.3;31.7;22.7;45.9;18.3;44.5;55;17.9;40.8;25.8;30.5;36;30.1;45.1;48;31.9;38.9;53.5;27.5;37.7;34.4;20.2;44.6;19.8;16.9;15.6;46.8;31.6;28.5;14.9
Dark05-32;179;Dark;3;51.9;34.6;22.3;36.6;17;51.6;58.6;15.6;22.6;24.1;41.8;25.4;35.8;29;61.8;32.1;47.1;53.2;28.4;32.1;28.6;18.2;44.7;34.8;19.7;15.4;34.3;35.1;37.3;16.6
Mild05-36;180;Mild;1;44.4;35.1;24;45.1;20.4;48.6;54.7;19.2;36.7;28.6;35.2;36.4;32.8;42.8;46.7;32.1;37.1;51;23.6;33.6;32.3;17.5;42.9;23.6;19.8;17.7;41;31.1;27.4;18.2
Mild05-40;181;Mild;1;43.7;28.3;30;41.7;25.9;43.9;56;18.4;38.3;28.1;38.4;38.3;29.2;39.8;51.8;33.1;41.6;46.3;28.4;30.1;35.6;19.3;38.2;26.1;19.6;19.2;37.8;33.3;31.8;22.7
Mild05-44;182;Mild;1;44.9;30.9;26.4;42.6;21.4;46.7;57.6;20.2;34.3;27.6;33.9;38.2;34.4;40.1;51.4;37;38.6;51.4;27.8;34.9;30.4;19.6;44;25.1;20.8;18.7;45.1;35.5;30.2;21.8
